t,X11,X12,X13,X14,X15,X21,X22,X23,X24,X25,T2,OOC
1,28.1,28.3,28.3,28.2,28.3,46.3,45.8,45.9,45.9,45.8,3.749568519155693,False
2,28.5,28.4,28.3,28.3,28.2,45.9,45.9,45.8,45.9,45.9,0.5653434587504961,False
3,28.3,28.3,28.3,28.4,28.3,45.8,45.8,45.8,45.5,45.6,0.103680469051193,False
4,28.2,28.3,28.3,28.3,28.3,45.8,46.0,45.8,46.0,45.9,0.35455723779137527,False
5,28.3,28.4,28.3,28.3,28.3,45.8,45.9,46.0,45.8,45.7,1.1200872222747722,False
6,28.3,28.3,28.3,28.3,28.2,45.8,45.9,45.8,45.9,46.0,0.3386406831231803,False
7,28.2,28.3,28.3,28.4,28.4,45.9,45.8,45.7,45.8,45.7,1.4342957101824743,False
8,28.2,28.4,28.3,28.3,28.3,45.8,45.9,45.7,45.8,45.7,0.7181626653023983,False
9,28.3,28.4,28.3,28.4,28.3,45.6,46.1,45.9,45.6,45.9,4.19947854544188,False
10,28.3,28.3,28.3,28.4,28.3,45.7,45.8,45.8,45.9,45.9,2.698064101851487,False
11,28.4,28.4,28.4,28.5,28.4,45.8,45.4,45.8,45.8,45.9,22.307435177914023,True
12,28.2,28.2,28.3,28.1,28.4,45.3,45.3,45.7,45.8,45.9,14.48828891430959,True
